status_type,type,link,object_id,parent_id,picture,source,Coding:Level1,Coding:Level2,num_likes,num_comments,num_shares,message
mobile_status_update,status,False,False,False,False,False,Community,Community: Thanks,11.0,,,"Shout out to everyone that has the ""Coral Song"" stuck in your head!! \n""I'm coraall, I live in the big blue sea.... I'm coraall I live in a colony!"""
,,False,True,False,False,False,Community,Community: Thanks,2.0,0.0,,"We would like to thank everyone that competed in this year's photo competition. This calendar contains the top photos from each catergory, however there is space for 9 additional photos in the calendar which should be out in the next few months. Congratulations to all those that won and to everyone who took part."
added_photos,photo,True,False,False,True,False,Community,Community: Thanks,14.0,,1.0,"Thank You to the West End Patronato, South Shore Canopy, Sundowner's Beach Bar, CORAL, CEM, Cannibal Cafe, Argentinean Grill, Buena Vida, Cafe Escondido, Waves of Art, Guatemalan Gift Shop, Coconut Tree Divers, Enomis Divers, Ocean Connections and West Bay Divers."
shared_story,link,True,False,False,False,False,Action,Action: Lobby,2.0,3.0,2.0,"<iframe frameborder=""0"" height=""510"" scrolling=""no"" src=""http://www.e-activist.com:80/ea-action/widget?widgetId=332"" title=""Sign Petition Widget 2"" width=""291""></iframe>"
shared_story,photo,True,False,False,True,False,Community,Community: Thanks,22.0,,,"I am very proud of this young man's instructor! Happy Birthday Derry! We need more kids like you in this world!! :) -Christi \n\nI see children, all children, as humanity's most precious resource, because it will be to them that the care of the planet will always be left.  Alice Walker"
added_photos,photo,True,False,False,True,False,Action,Action: Promo,103.0,3.0,6.0,Just a reminder that we will be releasing 3 loggerheads and one hawksbill juvenile romorrow morning at 9am in Flower's Bay by the old methodist church. Please feel free to come as this is an open event! This area is a nesting ground so hopefully this will not be the last of turtle conservation in Flower's Bay.\nFor more info please call Christi at 3289 1213
added_photos,photo,True,False,False,True,False,Information,Information,1.0,3.0,,"Chart showing user fee sales and membership payments from dive shops outside West End, West Bay and Sandy Bay"
,,False,True,False,False,False,Community,Community: AckCurrentEvent,0.0,0.0,,"Bahamas, Colombia, Honduras, the Maldives, the Marshall Islands, Mexico, Micronesia and Palau are all shark sanctuaries but there so many sharks still being slaughtered... Project Aware is a part of PADI and by signing, we are petitioning for the protection of ALL sharks, EVERYWHERE!"
shared_story,link,True,False,False,True,False,Community,Community: Response,43.0,1.0,16.0,http://oceana.org/en/blog/2014/06/world-sea-turtle-day-spotlight-five-ways-to-help-sea-turtles-this-summer-photos
added_photos,photo,True,False,False,True,False,Information,Information,5.0,5.0,,"The graph indicates funds generated from sales of the ""user fee"" and membership payments by dive shops and businesses outside the SBWEMR between January and February 2014. It does not include user fees on consignment, memberships, t-shirt sales or lionfish licenses. We would like to thank all of our supporters, big and small, and highlight that without you promoting our conversational message, we would be unable to continue protecting Roatan's reefs."
mobile_status_update,status,False,False,False,False,False,Community,Community: Response,1.0,,1.0,Did anyone get a copy of Diario el Tiempo yesterday??? Pages 6 and 7 are about the Bay Islands Coastal Clean Up :) We would like a copy :)
,,False,True,False,False,False,Information,Information,0.0,0.0,,the Police will get all the information about all of them
,,False,True,True,False,False,Community,Community: Reply,1.0,0.0,,"Sustainability is the balanced use of available resources in order to preserve them for their utilization by future generations.\nSustainable agriculture aims to contribute to the improvement of the environment, the use of natural resources and raw materials and the economic development of society in general."
mobile_status_update,status,False,False,False,False,False,Community,Community: Response,27.0,,1.0,The mangroves are one of the most efficient and important plants in the world and we are destroying faster than they can grow! \n\nSee just how important they are in this latest blog! \nhttp://m.huffpost.com/us/entry/6114596
,,False,True,False,False,False,Community,Community: Thanks,0.0,0.0,,Our boat and rangers circa 2009 :) Looking good Barie!
,,False,False,False,False,False,Community,Community: Response,0.0,0.0,,"After you eat at one of the Responsible Seafood Guide members I can give you a call to get the information :) Mostly what we are looking for are what are the options for fish (whole and fillet) Do they have lionfish? Do they have lobster? Will the server help you ""measure"" the lobster? Do they have conch on their menu?  and are any of the Responsible Seafood Guide materials visible to you to help you make a responsible choice?"
,,False,True,True,False,False,Community,Community: Reply,0.0,0.0,,We are in syndication :) The presentations are a normal part of our life :)  You will make it to one next time you're here!
added_photos,photo,True,False,False,True,False,Information,Information,19.0,,5.0,Self Explanatory... :)
mobile_status_update,status,False,False,False,False,False,Community,Community: Thanks,13.0,1.0,,"With your help, we managed to bring in almost 1300 lionfish during the Derby. And a big thanks to everyone that came to the Cook-Off. It was an amazing turnout. Let's hope we have enough lionfish next time!"
mobile_status_update,status,False,False,False,False,False,Action,Action: Promo,16.0,,2.0,It has been set. It is rather short notice but we figure it's better now than in two weeks. \nWe will be announcing the winners on Sunday (tomorrow) at Bananarama. Presentation will only be an hour starting at 6:30pm! \nFree shuttle leaving the entrance of West End at 6pm and coming back in intervals starting at 7:30. \nThere will also be crab races before the presentation and live music after!! \nA portion of the proceeds will be donated to the Roatan Marine Park. \nCome down to West Bay for a great night!!\nWe will be announcing all winners on FB on Monday for our off island supporters!!
,,False,False,False,False,False,Community,Community: Reply,0.0,0.0,,Only if there are more than 4 people
mobile_status_update,status,False,False,False,False,False,Action,Action: Help,5.0,,,Morning conservation world! :) \nWe are looking for anyone going up to the states to help out with mailing a small package to a group of students! \n\nPlease let us know if you or anyone you know can help out! Thanks in advance
,,False,True,False,False,False,Community,Community: Thanks,3.0,0.0,,Photo of the Week... Photo of the Week.... Special Thanks for Dano Pendygrasse for taking the photo and Jen Duffield for being his model!
added_photos,photo,True,False,False,True,False,Information,Information,9.0,2.0,,"The graph indicates funds generated from the sale of the ""user fee"" and membership payments by dive shops and businesses within the SBWEMR between January and July 2015. It does not include user fees on consignment, t-shirt sales or lionfish licenses. We would like to thank all of our supporters, big and small, and highlight that without you promoting our conservation message, we would be unable to continue protecting Roatan's reefs"
shared_story,photo,True,False,False,True,False,Information,Information,27.0,4.0,,Happy Hunter! 
,,False,False,False,False,False,Community,Community: Reply,0.0,0.0,,"Where did you submit your photos? I did not receive your email. Please email all submissions to photosrmp@gmail.com \nThanks, Christi"
shared_story,link,True,False,False,True,False,Action,Action: Sell,8.0,,4.0,Order your calendar today and it could be with you by Christmas. The perfect gift for divers worldwide. Email at info@roatanmarinepark.net
shared_story,link,True,False,False,True,False,Action,Action: Sell,1.0,,,If you're traveling to San Pedro and need a hotel this is the way to go! Buy your PromoDias card at our Eco Store in West End for only 400lps it will pay for itself in no time! \nFor more info please call 2445-4206 or visit www.promodias.com
,,False,False,False,False,False,Action,Action: Sell,0.0,0.0,,the calendar wil be available for order on line
mobile_status_update,status,False,False,False,False,False,Action,Action: Promo,6.0,,3.0,We will be cleaning Mangrove Bight Area with the Miguel Paz Barahona on Friday June 28th from 7-10 AM!!  Please come out and join us!!
,,False,True,False,False,False,Information,Information,1.0,0.0,,"The lionfish are still winning at this point but, we along with all the divers around the Bay Islands are really giving the reefs a fighting chance. We have issued over 300 lionfish spears (from 2010 til now) and can see a big difference!"
mobile_status_update,status,False,False,False,False,False,Information,Information,7.0,6.0,2.0,"Please note that our Best Find Category will be judged by you, our supporters and friends! The RMP staff will be doing preliminary BLIND selection of the top 50% of the most rare, hardest to find creatures and those will be posted into a new album. This album will be open for your likes for only ONE WEEK! The photos with most likes will be the winners of the category!"
added_photos,photo,True,False,False,True,False,Community,Community: Thanks,77.0,4.0,8.0,Special thanks to Martin Cabrera Deheza for the photo of a Sargassum Frogfish submitted for the 2012 photo competition.
,,False,True,False,False,False,Information,Information,0.0,0.0,,"Hey now, we didn't design it :) Just shared an innovative idea! ;)"
added_photos,photo,True,False,False,True,False,Community,Community: Thanks,3.0,,5.0,"In semana santa our team work hard side by side with Cruz Roja, Bomberos, Police, Marina Mercante, COPECO, Hospitals and Municipality to reduce the risks of semana santa here are some photos of that effort."
,,False,True,False,False,False,Information,Information,0.0,0.0,,You can find them in West End sand patches quite frequently. All you see are the stripes on the tail.
shared_story,link,True,False,False,True,False,Information,Information,18.0,1.0,9.0,Bay Islands Voice short article on all the whale sharks we've been seeing recently
,,False,True,False,False,False,Community,Community: Thanks,0.0,0.0,,Photo of the Week. Thank you Peter Hughes for this precious hawksbill profile!
,,False,True,False,False,False,Information,Information,1.0,0.0,,The species of the winning photos  will be listed in the calendar which will be on sale in late 2012.
shared_story,photo,True,False,False,True,False,Community,Community: Thanks,20.0,,,Great job Nic!!
,,False,True,False,False,False,Community,Community: Reply,0.0,0.0,,"We have been up that way every morning this week, will check the incident reports to double check what if anything has been seen or done! Thanks Chris "
added_photos,photo,True,False,False,True,False,Information,Information,149.0,12.0,4.0,"Working with the navy, our patrol boat traveled east early yesterday morning to catch any unsuspecting poachers off guard. We were fortunate enough to confiscate a large monfilament net close to the golf course and some hook rods in the same area. It's been a good week regarding nets for the RMP patrols"
,,False,False,False,False,False,Action,Action: Help,0.0,0.0,,There is so little known about the nesting beaches here on island that we are starting a campaign and heavy research on them.  Complete with an opportunity for  volunteers to camp at nesting sites and monitor the activity with the hope of adding the alterations to the management plan update! \nWe are looking for a turtle guru to work as a consultant (one with community experience) to help us with our community development.
added_photos,photo,True,False,False,True,False,Information,Information,78.0,70.0,47.0,"Today while patrolling near Turquoise Bay, our Park Rangers spotted an empty dory and a man in the water. Upon inspection, we found 7 undersized lobster, 5 live conch, 19 speared fish and worst of all a live, speared juvenile green turtle on board. The dory with all the product was confiscated, along with a speargun and a hook rod which were found in the water. The turtle is currently in Maya Key but it doesn't looking promising as it was shot in the lung. A case will be filed regarding the incident and we will have to work further on relations with the fishermen from Punta Gorda"
,,False,True,False,False,False,Action,Action: Donate,0.0,0.0,,This week's photo comes courtesy of Czar Gnzz.
,,False,True,False,False,False,Information,Information,1.0,0.0,,"The graphs simply show amount generated through membership and user fee sales. Obviously there will be a difference between the large resorts and the smaller shops. Some shops make the user fee mandatory, others sometimes offer it to their guests, while sadly a few do not mention the fee. Comparing % of divers who buy the fee would be a more precise method of measurement but that would be an impossible figure to acquire"
added_photos,photo,True,False,False,True,False,Community,Community: Response,61.0,,37.0,"Top 15 photos chosen by the RMP Photo Competition judges based on how rare and unusual the find actually is. We are asking you, our friends and members, to vote on your favourite of these 15!\nPlease Like your favourites to 'VOTE' for them! LIKING is only open for ONE WEEK so vote now or forever hold your peace!!!"
,,False,True,False,False,False,Community,Community: Reply,0.0,0.0,,the derby will probably take place in the middle of february. watch for upcoming posts on our facebook and web page
,,False,True,False,False,False,Community,Community: Reply,0.0,0.0,,"Hola Cristyn, S\xed, estudiantes de tu \xe1rea pueden realizar su pr\xe1ctica profesional con nosotros.  M\xe1ndanos un correo a info@roatanmarinepark.net, adjunta tu CV y te daremos m\xe1s informaci\xf3n"
added_photos,photo,True,False,False,True,False,Community,Community: Thanks,55.0,3.0,5.0,Everywhere you look you see the Roatan Marine Park :) Great Re-usable bags ladies!! ;)
,,False,True,False,False,False,Information,Information,1.0,0.0,,We are not giving out photographer's names as we want all judging to be objective! By the end of July all judging should be completed and we will be happy to share that info with you then!! :)
added_photos,photo,True,False,False,True,False,Community,Community: Thanks,38.0,1.0,2.0,"We would like to thank Melanie Merlino for once again choosing to support the RMP by becoming an Individual Gold Member. Her new dive site, named by her son, is B's Deep, located adjacent to a channel between the Odyssey wreck and Spenser's Rose Garden. The mooring is in 30ft next to a huge crack which leads to the shallow reef crest. To the west you have steep walls running from 20ft down to 100ft while in front you have a gently sloping reef that heads off into the deep. Thanks again and happy diving"
added_photos,photo,True,False,False,True,False,Community,Community: Thanks,284.0,19.0,9.0,Best Find Album. The photo with the most likes will win when judging stops at the end of the month. Good luck to all competitors
,,False,True,False,False,False,Community,Community: Reply,0.0,0.0,,"No, sorry. We have adrenaline, if that would help you!"
added_photos,photo,True,False,False,True,False,Action,Action: Sell,3.0,,4.0,Come visit our Eco Store in West End
,,False,True,False,False,False,Community,Community: Reply,0.0,0.0,,"Melissa's, the wife, grape escape and sea quest deep all have new buoys. Nick Lakoff, i don't have all the GPS coordinates for the further east dive sites"
,,False,True,False,False,False,Community,Community: Reply,0.0,0.0,,Did you get a photo? :D
added_photos,photo,True,False,False,True,False,Action,Action: Promo,2.0,,,Our annual photo contest is a great time for avid photographers to send in their best underwater photos and have the chance of their photos appearing in a calendar
,,False,False,False,False,False,Community,Community: Thanks,0.0,0.0,,Thanks Barbara we appreciate it!
added_photos,photo,True,False,False,True,False,Action,Action: Volunteer,5.0,,3.0,Coming up this June 28th (Friday) with Schools and June 30th (Sunday) with Communities and Businesses... The 2nd Annual Bay Islands Coastal Cleanup... We are still accepting donations and signing up volunteers! \r\nFor meeting points please call Christi @ 3289 1213
,,False,True,False,False,False,Information,Information,0.0,0.0,,they look like real cowboys using knives strapped to sticks and then using mesh bags. Wait till the get stung on the leg and then they'll shift to the bucket
shared_story,photo,True,False,False,True,False,Community,Community: Thanks,38.0,,,Awesome Villagio Verde... congrats on becoming a member of gobluecentralamerica.org :)
,,False,False,True,False,False,Community,Community: Reply,0.0,0.0,,"These photos were taken this morning, February 5th!"
shared_story,link,True,False,False,True,False,Community,Community: Response,3.0,,2.0,"LandFillHarmonic! Yet another thing we can do with what others deem ""garbage""\n\nhttp://www.upworthy.com/watch-the-first-54-seconds-that-s-all-i-ask-you-ll-be-hooked-after-that-i-swear?c=reccon1"
,,False,True,False,False,False,Action,Action: Promo,0.0,0.0,,It has been set. It is rather short notice but we figure it's better now than in two weeks. \nWe will be announcing the winners on Sunday (tomorrow) at Bananarama. Presentation will only be an hour starting at 6:30pm! \nFree shuttle leaving the entrance of West End at 6pm and coming back in intervals starting at 7:30. \nThere will also be crab races before the presentation and live music after!! \nA portion of the proceeds will be donated to the Roatan Marine Park. \nCome down to West Bay for a great night!!
mobile_status_update,status,False,False,False,False,False,Information,Information,22.0,2.0,5.0,"Happy Monday fellow conservationists! \nAs we all know Semana Santa (Easter Week) is approaching... The RMP is hard at work in order to absorb some of the impact of National and International tourists that flock to the islands during that week. \n\nWe are reinforcing swim zones in West Bay and West End, providing informative signage (indicating zones, speed limits, protected area, no dumping, no littering, put your cigarette butts in the right place,...among others ) throughout the Sandy Bay- West End area, Reinforcing our Responsible Seafood Guide with existing members and new members alike, chatting with Marine Recreation Providers and their new staff they will have for the week, Planning our strategy for patrols and will need volunteers for extra beach awareness, and will have specials in our ECO Store for eco conscious tourist including sunscreen and bug repellant. \n\nWe are working on these things now and are positive more things will come up (if you have any recommendations, they are welcome) that need to be addressed as well but, we are up for it! BRING IT ON SEMANA SANTA!!! :) \n\n~RMP Staff"
added_photos,photo,True,False,False,True,False,Community,Community: Thanks,44.0,,1.0,"Our Park Rangers are getting ready for everything, this weekend they received their Emergency First Response course. Well done guys!"
,,False,True,False,False,False,Information,Information,0.0,0.0,,They are actually much prettier than people give them credit for! Those bright blue lines are gorgeous!
,,False,True,False,False,False,Community,Community: Reply,0.0,0.0,,That sounds AMAZING! Thank you so much!
shared_story,link,True,False,False,True,False,Community,Community: Response,4.0,,,Do you think this is true? Is it really on the decline or is this something to make us feel better about what is being done everyday!
added_photos,photo,True,False,False,True,False,Information,Information,75.0,1.0,10.0,Busy day today followed by a busy day tomorrow... We are half way through the first set of trainings with Roatan's Supermarkets promoting the reduction of plastic bags!\r\n 60 employees from Eldon's this week and 70 from Plaza Mar next!
,,False,True,False,False,False,Community,Community: Reply,0.0,0.0,,Michael Sterken this is a pipefish.
,,False,True,False,False,False,Community,Community: Reply,0.0,0.0,,In front of Tranquil Seas is all we know!
shared_story,link,True,False,False,True,False,Community,Community: Response,16.0,,,Check this out! More about the lionfish invasion and the RMP in TIME.com 
added_photos,photo,True,False,False,True,False,Information,Information,106.0,10.0,18.0,"This was the sargassum in Half Moon Bay 2 days ago. Due to the change in water movement it is being washed up on many beaches here on Roatan! It is a proverbial floating raft of protection for so many pelagic species..\nIn it you can find things from Sea Slugs, Filefish, Frogfish, Seahorses, Pipehorses, Spanish Dancers, Crabs, Shrimp and baby turtles!! \nIt's a great place to go for an exploration dive/snorkel or rescue some animals! Keep your eyes open and our phone numbers on hand :) :)\n 2445-4206 2445-4208  3289-1213 (Christi)  3351-8591 (Giaco) 3320-6940 (Nick) and 3392-8340 (Marta)"
mobile_status_update,status,False,False,False,False,False,Action,Action: Promo,5.0,,,"REMINDER:\nThis Friday, June 18th we will be holding our first lionfish huntathon! Please call us (445-4206) to reserve a spot -- cost is 300 lempiras (snorkel equipment, spears, transportation, drinks all included). Space is limited to 12 participants and only a few spots are left! We leave at 8:30 Friday morning and we'll be back by 3:30. Headed to Camp Bay and Calabash!"
added_photos,photo,True,False,False,True,False,Community,Community: Thanks,33.0,1.0,4.0,"We would like to thank our ongoing supporters, Jim and Michael Jaskunas, who recently became Gold Individual Gold Members and named their dive site ""Rockies Reef"". The mooring is located just west of Mora Channel, opposite Lawson Rock. Sitting in 30ft and close to the reef crest, it's a long swim out to the deep. With intricate swim throughs in the shallows, this site is great for all levels of diver"
added_photos,photo,True,False,False,True,False,Action,Action: Promo,20.0,2.0,4.0,Come meet Fernando and see what you can do to help with this prestigious organization!!\nEveryone is invited!
,,False,True,False,False,False,Community,Community: Reply,0.0,0.0,,Yes it's a sea hare :)
,,False,True,False,False,False,Information,Information,0.0,0.0,,A local beach on the southside of the island taken during a beach cleanup...
mobile_status_update,status,False,False,False,False,False,Action,Action: Help,1.0,,,We are looking for a supplier of untreated pine  to build bee hive boxes and have been told that La Ceiba would be able to offer the best prices. Anyone out there have any contacts? \nWe are looking for 1x10 untreated pine.
,,False,True,False,False,False,Community,Community: Reply,0.0,0.0,,"Yes, 6 is the max number per person! Only 6 will be judged, if more than 6 are submitted then WE WILL CHOOSE the 6 to be judged. Normally it's at random and hardly ever works out for the photographer but that is a risk that some will take. Now don't forget that the photos posted are all the entries and that everyone on FB will vote for the winners of the BEST FIND category only.\nHope that settles any doubts :)"
added_photos,photo,True,False,False,True,False,Information,Information,33.0,,4.0,Here is the updated version of all the dive moorings between Crawfish Rock and West Bay. This should help dive masters and instructors knowing which site is which. All moorings purchased by Gold Individual members will have the name engraved on them .
shared_story,link,True,False,False,True,False,Community,Community: Response,35.0,,9.0,Here is a innovative approach to helping you cut plastic out of your lives. Including recipes on making your own shampoo and toothpaste too. Check it out. http://www.onegreenplanet.org/environment/life-hacks-to-help-you-cut-plastic-out-of-the-picture/
shared_story,photo,True,False,False,True,False,Information,Information,12.0,7.0,1.0,I seems we've been sharing a lot of these notifications lately! :(
,,False,True,False,False,False,Information,Information,0.0,0.0,,It is a max of 7 entries per photographer
shared_story,link,True,False,False,True,False,Information,Information,,1.0,,Looks like there is weather brewing! http://www.windfinder.com/forecast/isla_de_roatan
,,False,True,False,False,False,Community,Community: Response,1.0,0.0,,How many baby turtles do you see?
,,False,True,False,False,False,Information,Information,0.0,0.0,,Final count on LIKES= 32
,,False,True,False,False,False,Information,Information,0.0,0.0,,Tip #7 is particularly important ;)
mobile_status_update,status,False,False,False,False,False,Action,Action: Promo,3.0,,,Today is the DEADLINE for Photo Contest Submissions!  Don't miss out on your chance to be featured in the 2010 RMP Calendar!
added_photos,photo,True,False,False,True,False,Community,Community: Thanks,3.0,,5.0,"We had one police officer, a bombero, 2 kids, 6 adults and a dog come out to help today! Thank You for the help and support!"
shared_story,video,True,False,False,True,True,Community,Community: Response,34.0,1.0,27.0,"Wish you were here diving in Roatan? Click play and see the high fish abundance, coral cover, and dramatic topography in this area. Thank you Joseph Pawlik for this great video.  https://www.youtube.com/watch?v=1JzdYwO2YGo&feature=youtu.be"
shared_story,video,True,False,False,True,True,Information,Information,15.0,5.0,,something to think about
,,False,True,False,False,False,Information,Information,0.0,0.0,,Bay Islands Coastal Clean Up with the public school in West End... 91 bags and sacks of trash and recyclables...
shared_story,link,True,False,False,True,False,Community,Community: Thanks,21.0,3.0,,some great photos of lionfish being eaten by the sharks at cara cara
,,False,True,False,False,False,Community,Community: Response,0.0,0.0,,http://www.ecohustler.co.uk/2014/01/27/biggest-ever-whale-shark-slaughterhouse-uncovered-southeastern-china/
shared_story,link,True,False,False,True,False,Community,Community: Response,3.0,1.0,1.0,Do you want jelly fish soup? Watch this video about the importance of marine reserves and why they work . It's time to take action http://wildaid.org/video/importance-marine-protection
,,False,True,False,False,False,Information,Information,5.0,0.0,,We have reported it. Now we wait and see!
added_photos,photo,True,False,False,True,False,Action,Action: Promo,5.0,,,Entries to have people's photos in the 2010 RMP calendar
,,False,True,False,False,False,Information,Information,0.0,0.0,,I will update the list with bucca quay which is located just west of black rock in west bay
mobile_status_update,status,False,False,False,False,False,Community,Community: Response,20.0,8.0,10.0,"This just in! \nThere is a 60lbs Green Turtle spotted around Overheat Reef with a rebar gaff sticking out of it's neck. If spotted please do not try to remove the gaff yourself instead call us on VHF channel 16 or Giaco 3351-8591 or Christi 3289-1213. \nPlease be ready to give us a precise location, depth and time! \nThanks"
,,False,True,False,False,False,Community,Community: Reply,0.0,0.0,,Roatan Best Island Tours it was out and hunting during the day! Donna Pieracini was definitely in the right place at the right time!
added_photos,photo,True,False,False,True,False,Community,Community: Thanks,,,,Second presentation at the Miguel Paz Barajona School.
,,False,True,False,False,False,Information,Information,0.0,0.0,,taking them down one fish at a time
added_photos,photo,True,False,False,True,False,Information,Information,6.0,,2.0,This is the section of the Management Plan of the National Marine Park of the Bay Islands that pertains to the 'Special Marine Zones' (i.e. Sandy Bay- West End) If you would like a complete copy please feel free to stop by our office and we will give you a copy! Unfortunately it is too big to email :(
,,False,True,False,False,False,Community,Community: Reply,0.0,0.0,,"it's best to send horizontal as they work best for the calendar but we accept both. Last year, only photos that were horizontal appeared for the primary photo for each month while the smaller photos were either. A total of 30 photos appeared in the 2010 calendar\nGood luck"
shared_story,photo,True,False,False,True,False,Action,Action: Promo,3.0,,,Save the date! We are really looking forward to the report on the health of the Mesoamerican Reef 2015!
,,False,True,False,False,False,Information,Information,0.0,0.0,,"Good Morning all, \nWe are heartbroken to inform you that she did not make it.\n\n She seemed to be doing well but had a secondary infection within her carapace. With limited facilities on island and limited funds to send to the states she died at Maya Key animal refuge last week. \n\nWe thank everyone that was involved in the rescue and care. Hopefully the person responsible will think twice (especially since we confiscated his spear!) before doing this again!"
mobile_status_update,status,False,False,False,False,False,Action,Action: Promo,10.0,1.0,,This weeks challenge! The first 5 people that bring in a bag (decent sized) of marine debris (plastic) will be given one of the new RMP backpack bags! :) Shouldn't be too hard this week!
,,False,True,False,False,False,Community,Community: Reply,0.0,0.0,,"David Garrison Staubach, Yes it is :("
,,False,True,False,False,False,Information,Information,6.0,0.0,,These were thrown back into the ecosystem! \nWhen we have large quantities that are in good condition we will donate them to the orphanages!
shared_story,link,True,False,False,True,False,Community,Community: Response,3.0,,2.0,Think about it :) \n\nhttp://www.southernfriedscience.com/?p=16267
shared_story,link,True,False,False,False,False,Community,Community: Response,,,,Craft Corner :)\nhttp://www.activityvillage.co.uk/coral-reef-aquarium-craft
,,False,False,True,False,False,Community,Community: Reply,1.0,0.0,,"That may be the case but, we also need  to think of where our trash goes! It's a never ending cycle of passing the buck!"
added_photos,photo,True,False,False,True,False,Community,Community: Thanks,54.0,2.0,9.0,Best Find Album. The photo with the most likes will win when judging stops at the end of the month. Good luck to all competitors
added_photos,photo,True,False,False,True,False,Community,Community: Thanks,2.0,3.0,1.0,We would like to say thank you to all our supporters. We would be happy to meet with owners and  staff of shops that have trouble selling the user fee or need further convincing. We have materials such as posters and brochures available to all so please email if you need these.
,,False,True,False,False,False,Community,Community: Thanks,0.0,0.0,,Grateful for the collaboration of Punta Gorda Patronato.
added_photos,photo,True,False,False,True,False,Community,Community: Thanks,12.0,6.0,,Honorable Mention for Macro Category is Christine Hidalgo with Festival taken at Mandy's
,,False,True,False,False,False,Community,Community: Reply,0.0,0.0,,"Shel Thomas the easiest way to get from Belize is by boat. Sometimes there are boats that will come direct, take only a few hours. They are not scheduled just once in a while. Otherwise, you normally can get a ferry to Puerto Cortes and jump on a cargo ship from there to here. Now if you would rather fly the best option would be to San Pedro then from San Pedro to Roatan direct, TACA is the airline to try for this option."
added_video,video,True,False,False,True,True,Information,Information,79.0,11.0,22.0,"Please give us a call at 2445-4206, 2445- 4208 or email at info@roatanmarinepark.net"
mobile_status_update,status,False,False,False,False,False,Action,Action: Promo,11.0,1.0,2.0,Are you curious to find out if your photo made the calendar? WAIT NO MORE...  We are pleased to announce that we will have our CALENDAR LAUNCH Roatan Oasis next Thursday September 26th! We will start with drink specials from 5PM! Be on the look out for the event invitation :)
added_photos,photo,True,False,False,True,False,Information,Information,8.0,,,"The graph indicates funds generated from the sale of the ""user fee"" and membership payments by dive shops and businesses within the SBWEMR between January and June 2015. It does not include user fees on consignment, t-shirt sales or lionfish licenses. We would like to thank all of our supporters, big and small, and highlight that without you promoting our conservation message, we would be unable to continue protecting Roatan's reefs"
added_photos,photo,True,False,False,True,False,Information,Information,16.0,5.0,1.0,"The graph indicates funds generated from the sale of the ""user fee"" and membership payments by dive shops and businesses within the SBWEMR between January and April 2014. It does not include user fees on consignment, t-shirt sales or lionfish licenses. We would like to thank all of our supporters, big and small, and highlight that without you promoting our conservational message, we would be unable to continue protecting Roatan's reefs"
,,False,True,False,False,False,Information,Information,1.0,0.0,,According to WWF in Mexico they have moved from the normal place by Holbox further south to Isla Mujeres and that may be why we are seeing more. They are currently doing more studies on their changed location and behaviour. We will keep you up dated when we know more :)
shared_story,photo,True,False,False,True,False,Community,Community: AckCurrentEvent,79.0,,,We are so excited about the Caribbean Cup Freediving Competition happening here in Roatan. Like their page for more updates.
